Name,Team,Capacity,Address
Liberty Stadium,Swansea City,20532,"Liberty Stadium, Swansea"
Dean Court,A.F.C. Bournemouth,10700,"Dean Court, Bournemouth"
Emirates Stadium,Arsenal F.C,60432,"Highbury House, 75 Drayton Park, London"
Villa Park,Aston Villa,42573,"Villa Park, Trinity Road, Birmingham B6 6HE"
Stamford Bridge,Chelsea F.C,42360,"Stamford Bridge, Fulham Road, London, SW6 1HS"
Selhurst Park,Crystal Palace F.C,26300,"Selhurst Park, London, SE25 6PU"
Goodison Park,Everton F.C,40569,"Goodison Park, Goodison Road, Liverpool, L4 4EL"
King Power Stadium,Leicester City,32500,"Filbert Way, Leicester, LE2 7FL"
Anfield,Liverpool F.C,47715,"Anfield Stadium, Anfield Road, Liverpool, L4 0TH"
City of Manchester Stadium,Manchester City,76000," City of Manchester Stadium, Sportcity, Rowsley Street, Manchester, M11 3FF"
Old Trafford,Manchester United,52387,"Old Trafford, Sir Matt Busby Way, Manchester M16 0RA"
St James Park,Newcastle United,26000,"St James Park, Newcastle Upon Tyne, NE1 4ST"
Carrow Road,Norwitch City,32700,"Carrow Road, Norwich, NR1 1JE"
St Marys Stadium,Southampton F.C,28383,"Britannia Road, Southampton, Hants. SO14 5FP"
Britannia Stadium,Stoke City,48300,"Stanley Matthews Way, Stoke On Trent, ST4 4EG"
Stadium of Light,Sunderland A.F.C,20532,"Stadium of Light, Sunderland, SR5 1BT"
White Hart Lane,Tootenham Hotspur,36240,"Bill Nicholson Way, 748 High Road, Tottenham, London, N17 0AP"
Vicarage Road,Watford F.C.,19920,"Vicarage Road Stadium, Vicarage Road, Watford, Hertfordshire, WD18 0ER"
Boleyn Ground,West Ham United,35647,"Boleyn Ground, Green Street, Upton Park, London, E13 9AZ"
The Hawthorns,West Bromwich Albion,28000,"Halfords Lane, West Bromwich B71 4LF"
